step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
211,123224,1688,0.002562338051819195,1.0,1.0,,,,,,,,,
212,123808,1696,0.0022829824335671763,1.0,1.0,,,,,,,,,
213,124392,1704,0.002761001623042792,1.0,1.0,,,,,,,,,
214,124976,1712,0.002546833018582188,1.0,1.0,,,,,,,,,
215,125560,1720,0.0017748740629266913,1.0,1.0,,,,,,,,,
216,126144,1728,0.0028336020685719872,1.0,1.0,,,,,,,,,
217,126728,1736,0.00897419427548888,0.875,0.875,0.003280286128688022,1.0,1.0,,,,,,
218,127312,1744,0.0036474967754698915,1.0,1.0,,,,,,,,,
219,127896,1752,0.001922841731059866,1.0,1.0,,,,,,,,,
220,128480,1760,0.014584766302636122,0.875,0.875,,,,,,,,,
221,129064,1768,0.0029461114079673955,1.0,1.0,,,,,,,,,
222,129648,1776,0.002043147214116077,1.0,1.0,,,,,,,,,
223,130232,1784,0.0024318157547848864,1.0,1.0,,,,,,,,,
224,130816,1792,0.002487212206537009,1.0,1.0,,,,,,,,,
225,131400,1800,0.0024966870029223998,1.0,1.0,0.0030789929453059113,1.0,1.0,,,,,,
226,131984,1808,0.0025918042110664257,1.0,1.0,,,,,,,,,
227,132568,1816,0.0022066962774612065,1.0,1.0,,,,,,,,,
228,133152,1824,0.0026543815520054604,1.0,1.0,,,,,,,,,
229,133736,1832,0.002378115178096461,1.0,1.0,,,,,,,,,
230,134320,1840,0.0025745408833753006,1.0,1.0,,,,,,,,,
231,134904,1848,0.002487070990019741,1.0,1.0,,,,,,,,,
232,135488,1856,0.00266887044213648,1.0,1.0,,,,,,,,,
233,136072,1864,0.0019791273271699736,1.0,1.0,0.002612784329106748,1.0,1.0,,,,,,
234,136656,1872,0.0028866734978276205,1.0,1.0,,,,,,,,,
235,137240,1880,0.001970674850692016,1.0,1.0,,,,,,,,,
236,137824,1888,0.00197670233512988,1.0,1.0,,,,,,,,,
237,138408,1896,0.0021573325865672285,1.0,1.0,,,,,,,,,
238,138992,1904,0.0021806125342487136,1.0,1.0,,,,,,,,,
239,139576,1912,0.0030110517242957218,1.0,1.0,,,,,,,,,
240,140160,1920,0.0021802880244646636,1.0,1.0,,,,,,,,,
241,140744,1928,0.0024486672197951936,1.0,1.0,0.0021587237786764154,1.0,1.0,,,,,,
242,141328,1936,0.002361199988188444,1.0,1.0,,,,,,,,,
243,141912,1944,0.0023486067551576183,1.0,1.0,,,,,,,,,
244,142496,1952,0.002612388930627228,1.0,1.0,,,,,,,,,
245,143080,1960,0.002349577326866543,1.0,1.0,,,,,,,,,
246,143664,1968,0.002659649802516503,1.0,1.0,,,,,,,,,
247,144248,1976,0.0018224861031762964,1.0,1.0,,,,,,,,,
248,144832,1984,0.0022008319086963147,1.0,1.0,,,,,,,,,
249,145416,1992,0.002585565402544982,1.0,1.0,0.002023485102823589,1.0,1.0,,,,,,
250,146000,2000,0.00206237748708458,1.0,1.0,,,,,,,,,
251,146584,2008,0.0020850139517858603,1.0,1.0,,,,,,,,,
252,147168,2016,0.002165862315849062,1.0,1.0,,,,,,,,,
253,147752,2024,0.0019502172459900102,1.0,1.0,,,,,,,,,
254,148336,2032,0.00424408559577116,1.0,1.0,,,,,,,,,
255,148920,2040,0.001817174091953583,1.0,1.0,,,,,,,,,
256,149504,2048,0.0018504999887495818,1.0,1.0,,,,,,,,,
257,150088,2056,0.0019734713350092565,1.0,1.0,0.002209903898578318,1.0,1.0,,,,,,
258,150672,2064,0.002021527227562415,1.0,1.0,,,,,,,,,
259,151256,2072,0.002882609491495706,1.0,1.0,,,,,,,,,
260,151840,2080,0.0015676848033131761,1.0,1.0,,,,,,,,,
261,152424,2088,0.0028018718381548524,1.0,1.0,,,,,,,,,
262,153008,2096,0.002239432563785573,1.0,1.0,,,,,,,,,
263,153592,2104,0.0017190265300524722,1.0,1.0,,,,,,,,,
264,154176,2112,0.01593137039280127,0.875,0.875,,,,,,,,,
265,154760,2120,0.002427935561007669,1.0,1.0,0.002561847141377416,1.0,1.0,,,,,,
266,155344,2128,0.0021302875531977843,1.0,1.0,,,,,,,,,
267,155928,2136,0.0027382455047307475,1.0,1.0,,,,,,,,,
268,156512,2144,0.0033263259955657177,0.875,0.875,,,,,,,,,
269,157096,2152,0.0021311692073393966,1.0,1.0,,,,,,,,,
270,157680,2160,0.002736005966509884,1.0,1.0,,,,,,,,,
271,158264,2168,0.003341323547034111,1.0,1.0,,,,,,,,,
272,158848,2176,0.0022526745901520154,1.0,1.0,,,,,,,,,
273,159432,2184,0.0026269793668062726,1.0,1.0,0.0026392876783818565,1.0,1.0,,,,,,
274,160016,2192,0.0027659666978576813,1.0,1.0,,,,,,,,,
275,160600,2200,0.002467321545254587,1.0,1.0,,,,,,,,,
276,161184,2208,0.0024276912833349606,1.0,1.0,,,,,,,,,
277,161768,2216,0.0029204699667262114,1.0,1.0,,,,,,,,,
278,162352,2224,0.0023789312150164182,1.0,1.0,,,,,,,,,
279,162936,2232,0.0019348022366274125,1.0,1.0,,,,,,,,,
280,163520,2240,0.0024247448856278336,1.0,1.0,,,,,,,,,
281,164104,2248,0.0031118164057489187,1.0,1.0,0.002108308595783384,1.0,1.0,,,,,,
282,164688,2256,0.0020811976724972978,1.0,1.0,,,,,,,,,
283,165272,2264,0.0018344062711625124,1.0,1.0,,,,,,,,,
284,165856,2272,0.002090808885825699,1.0,1.0,,,,,,,,,
285,166440,2280,0.0020986555164204273,1.0,1.0,,,,,,,,,
286,167024,2288,0.0024341131488419526,1.0,1.0,,,,,,,,,
287,167608,2296,0.0019459908079916136,1.0,1.0,,,,,,,,,
288,168192,2304,0.008813099391951299,0.875,0.875,,,,,,,,,
289,168776,2312,0.0018354226336613423,1.0,1.0,0.006554522978643383,0.875,0.875,,,,,,
290,169360,2320,0.002612374483551325,1.0,1.0,,,,,,,,,
291,169944,2328,0.0025267567630191732,1.0,1.0,,,,,,,,,
292,170528,2336,0.0017926241975010349,1.0,1.0,,,,,,,,,
293,171112,2344,0.00680983052223718,0.875,0.875,,,,,,,,,
294,171696,2352,0.00202592014287977,1.0,1.0,,,,,,,,,
295,172280,2360,0.0018852198969257236,1.0,1.0,,,,,,,,,
296,172864,2368,0.002287312758048859,1.0,1.0,,,,,,,,,
297,173448,2376,0.0019354458215165872,1.0,1.0,0.002340767541514152,1.0,1.0,,,,,,
298,174032,2384,0.010803343539145756,0.75,0.75,,,,,,,,,
299,174616,2392,0.0027060631094350325,1.0,1.0,,,,,,,,,
300,175200,2400,0.002143080609996184,1.0,1.0,,,,,,,,,
301,175784,2408,0.002734061081595185,1.0,1.0,,,,,,,,,
302,176368,2416,0.004041259996930602,0.875,0.875,,,,,,,,,
303,176952,2424,0.0022646019300597057,1.0,1.0,,,,,,,,,
304,177536,2432,0.0024561583885550596,1.0,1.0,,,,,,,,,
305,178120,2440,0.002980983922152045,1.0,1.0,0.004724218384641771,0.875,0.875,,,,,,
306,178704,2448,0.002322147146497878,1.0,1.0,,,,,,,,,
307,179288,2456,0.0063075876223787795,0.875,0.875,,,,,,,,,
308,179872,2464,0.002339357287633514,1.0,1.0,,,,,,,,,
